kpathid	Pathway	extid	source	size	tag1	tag2	tag3	tag4	tag5	tag6	tag7
kp3483	Golgi associated Vesicle Biogenesis	R-HSA-432722	Reactome	56	Cell Organelles & Functions	Golgi	Vesicle	NA	NA	NA	NA
kp3553	Deadenylation dependent mRNA Decay	R-HSA-429914	Reactome	56	RNA Metabolism	Transcription	NA	NA	NA	NA	NA
kp3709	ECM Proteoglycans	R-HSA-3000178	Reactome	56	ExtraCellular Matrix	NA	NA	NA	NA	NA	NA
kp3888	Nuclear Receptor Transcription Pathway	R-HSA-383280	Reactome	56	Nuclear Receptors	Transcriptional Regulation	NA	NA	NA	NA	NA
kp4084	BMP2 Signaling via TGF-beta	None	INOH	56	Signal Transduction	TGF-beta	Bone	BMP	NA	NA	NA
kp4334	Thromboxane A2 Receptor (TBXA2R) Signaling	txa2pathway	PID	56	Signal Transduction	Homeostasis	Platelet	NA	NA	NA	NA
kp4434	FGF Signaling [PID]	fgf_pathway	PID	56	Signal Transduction	Growth Factors	FGF & FGFR	NA	NA	NA	NA
kp4615	FCGR3A mediated Phagocytosis	R-HSA-9664422	Reactome	56	Immune System	Innate Immune System	Phagocytosis	Fc Receptors	 	NA	NA
kp5128	HDAC Class-I mediated Signaling	hdac_classi_pathway	PID	56	Signal Transduction	Transcriptional Regulation	Epigenetic Regulation	HDAC	NA	NA	NA
kp5173	RHOJ GTPase Cycle	R-HSA-9013409	Reactome	56	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp0147	Epithelial Sheet Morphogenesis	GO:0002011	Gene Ontology	57	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0456	Pigment Biosynthesis	GO:0046148	Gene Ontology	57	Physiology	NA	NA	NA	NA	NA	NA
kp0489	Interstrand Crosslink Repair	GO:0036297	Gene Ontology	57	DNA Repair	NA	NA	NA	NA	NA	NA
kp0681	IL-10 Production	GO:0032613	Gene Ontology	57	Immune System	Innate Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp0930	Pyrimidine Metabolism [KEGG]	path:hsa00240	KEGG	57	Nucleotide Metabolism	Pyrimidine	NA	NA	NA	NA	NA
kp0993	Glutathione Metabolism	path:hsa00480	KEGG	57	Metabolism	NA	NA	NA	NA	NA	NA
kp1246	Hedgehog Signaling [KEGG]	path:hsa04340	KEGG	57	Signal Transduction	Hedgehog	NA	NA	NA	NA	NA
kp2452	Proximal Tubule Transport	WP4917	WikiPathway	57	Transport	NA	NA	NA	NA	NA	NA
kp2610	Neurexins and Neuroligins	R-HSA-6794361	Reactome	57	Cell Adhesion	Neuronal System	Chemical Synapses	NA	NA	NA	NA
kp3003	Iron uptake and Transport	R-HSA-917937	Reactome	57	Transport	NA	NA	NA	NA	NA	NA
kp3040	Mitochondrial Complex I Biogenesis	R-HSA-6799198	Reactome	57	Cell Organelles & Functions	Mitochondria	Energy Metabolism	NA	NA	NA	NA
kp3196	C21-Steroid Hormone Biosynthesis and Metabolism	C21-steroid hormone biosynthesis and metabolism	EHMN	57	Metabolism	Lipid Metabolism	Hormone Metabolism & Fucntions	NA	NA	NA	NA
kp3742	Purine Nucleotide Salvage	PWY66-409	HumanCyc	57	Nucleotide Metabolism	Purine	NA	NA	NA	NA	NA
kp4146	Cytochrome P450 (Arranged by Substrate-type)	R-HSA-211897	Reactome	57	Energy Metabolism	Biological Oxidations	NA	NA	NA	NA	NA
kp4255	Caspase Cascade in Apoptosis	caspase_pathway	PID	57	Apoptosis	Cell Death	NA	NA	NA	NA	NA
kp4534	Purine Nucleotides de novo Biosynthesis	PWY-841	HumanCyc	57	Nucleotide Metabolism	Purine	NA	NA	NA	NA	NA
kp5041	MAPK Signaling [BioCarta]	mapkpathway	BioCarta	57	Signal Transduction	MAP Kinases	NA	NA	NA	NA	NA
kp5554	rRNA Processing in Nucleus and Cytosol	R-HSA-8868773	Reactome	57	RNA Metabolism	rRNA Metabolism	NA	NA	NA	NA	NA
kp0372	Cell Cortex Cytoskeleton	GO:0030865	Gene Ontology	58	Cytoskeleton	NA	NA	NA	NA	NA	NA
kp0607	Protein Localization To Cytoskeleton	GO:0044380	Gene Ontology	58	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp0698	ERBB4 Signaling	R-HSA-1236394	Reactome	58	Signal Transduction	RTK Signaling	ERBB	NA	NA	NA	NA
kp0724	NOD-like Receptor (NLR) Signaling [Reactome]	R-HSA-168643	Reactome	58	Immune System	Innate Immune System	Inflammation	Signal Transduction	NA	NA	NA
kp0831	Export across Plasma Membrane	GO:0140115	Gene Ontology	58	Physiology	Transport	Vesicle	Exocytosis	NA	NA	NA
kp3588	tRNA Processing in Nucleus	R-HSA-6784531	Reactome	58	RNA Metabolism	tRNA Metabolism	NA	NA	NA	NA	NA
kp3673	ABC family Proteins mediated Transport	R-HSA-382556	Reactome	58	Transport	NA	NA	NA	NA	NA	NA
kp4485	NOTCH Signaling [NetPath]	Pathway_Notch	NetPath	58	Signal Transduction	NOTCH	NA	NA	NA	NA	NA
kp5227	TP53 Signaling [PID]	p53regulationpathway	PID	58	Signal Transduction	TP53	NA	NA	NA	NA	NA
kp0180	Neuron Fate Commitment	GO:0048663	Gene Ontology	59	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp0241	Photoreceptor Cell Differentiation	GO:0046530	Gene Ontology	59	Developmental Biology	Differentiation	Vision	NA	NA	NA	NA
kp0585	Protein Localization To Plasma Membrane	GO:0061951	Gene Ontology	59	Protein Metabolism	Transport	NA	NA	NA	NA	NA
kp0682	IL-12 Production	GO:0032615	Gene Ontology	59	Immune System	Innate Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp0730	PDGF Signaling [Reactome]	R-HSA-186797	Reactome	59	Signal Transduction	RTK Signaling	Growth Factors	PDGF & PDGFR	NA	NA	NA
kp1096	VEGF Signaling [KEGG]	path:hsa04370	KEGG	59	Signal Transduction	Homeostasis	Angiogenesis	VEGF & VEGFR	NA	NA	NA
kp1097	Mineral Absorption	path:hsa04978	KEGG	59	Physiology	Homeostasis	NA	NA	NA	NA	NA
kp2113	KIT Receptor Signaling [WikiPathway]	WP304	WikiPathway	59	Signal Transduction	RTK Signaling	Immune System	Angiogenesis	Stem Cell	NA	NA
kp3433	MHC-II Antigen Presentation	R-HSA-2132295	Reactome	59	Immune System	Adaptive Immune System	NA	NA	NA	NA	NA
kp3711	Lysine Metabolism	Lysine metabolism	EHMN	59	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp4269	SHP2 Signaling	shp2_pathway	PID	59	Signal Transduction	NA	NA	NA	NA	NA	NA
kp4489	Selective Autophagy [Reactome]	R-HSA-9663891	Reactome	59	Autophagy	NA	NA	NA	NA	NA	NA
kp0067	Stem Cell Proliferation	GO:0072089	Gene Ontology	60	Stem Cell	NA	NA	NA	NA	NA	NA
kp0120	Animal Organ Formation Initiation	GO:0048645	Gene Ontology	60	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0177	Neural Nucleus Development	GO:0048857	Gene Ontology	60	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp0539	Mast Cell Activation	GO:0045576	Gene Ontology	60	Immune System	Inflammation	NA	NA	NA	NA	NA
kp0587	Chaperone mediated Protein Folding	GO:0061077	Gene Ontology	60	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp0683	IL-2 Production	GO:0032623	Gene Ontology	60	Immune System	Innate Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp0827	Ribosome Assembly	GO:0042255	Gene Ontology	60	Translation	Ribosome	RNA Metabolism	Protein Metabolism	NA	NA	NA
kp0829	Excretion	GO:0007588	Gene Ontology	60	Physiology	NA	NA	NA	NA	NA	NA
kp2166	DAP12 Causal Network in Microglia	WP3945	WikiPathway	60	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp2192	Novel Intracellular Components of RIG-like Receptor (RLRs) Pathway	WP3865	WikiPathway	60	Signal Transduction	Immune System	NA	NA	NA	NA	NA
kp2517	Oxidative Phosphorylation [WikiPathway]	WP623	WikiPathway	60	Metabolism	Energy Metabolism	Biological Oxidations	NA	NA	NA	NA
kp3387	GABA Receptor Activation	R-HSA-977443	Reactome	60	Neuronal System	Chemical Synapses	NA	NA	NA	NA	NA
kp4378	ATF2 Transcription Factor Network	atf2_pathway	PID	60	Transcriptional Regulation	Transcription Factors	NA	NA	NA	NA	NA
kp5190	RHOQ GTPase Cycle	R-HSA-9013406	Reactome	60	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp0298	Cellular Component Maintenance	GO:0043954	Gene Ontology	61	Homeostasis	Cell Organelles & Functions	NA	NA	NA	NA	NA
kp0400	Fatty-acid Derivative Biosynthesis	GO:1901570	Gene Ontology	61	Metabolism	Lipid Metabolism	Fatty-acid	NA	NA	NA	NA
kp0420	Membrane Protein Proteolysis	GO:0033619	Gene Ontology	61	Metabolism	Protein Metabolism	NA	NA	NA	NA	NA
kp0512	Somatic Diversification of Immunoglobulins	GO:0016445	Gene Ontology	61	Immune System	NA	NA	NA	NA	NA	NA
kp0606	Protein Localization To Cilium	GO:0061512	Gene Ontology	61	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp0765	IL-12 Signaling [Reactome]	R-HSA-447115	Reactome	61	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp0937	Glycerolipid Metabolism	path:hsa00561	KEGG	61	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp0964	Steroid Hormone Biosynthesis [KEGG]	path:hsa00140	KEGG	61	Hormone Metabolism & Fucntions	Metabolism	Lipid Metabolism	NA	NA	NA	NA
kp1207	NOTCH Signaling [KEGG]	path:hsa04330	KEGG	61	Signal Transduction	NOTCH	NA	NA	NA	NA	NA
kp1559	Muscle/Heart Contraction	SMP00588	SMPDB	61	Physiology	Muscle	Cardiac System	NA	NA	NA	NA
kp2301	Oxidation by Cytochrome P450	WP43	WikiPathway	61	Energy Metabolism	Biological Oxidations	Mitochondria	NA	NA	NA	NA
kp2514	NOTCH Signaling [WikiPathway]	WP61	WikiPathway	61	Signal Transduction	NOTCH	NA	NA	NA	NA	NA
kp2627	Translation Initiation Complex Formation	R-HSA-72649	Reactome	61	Translation	NA	NA	NA	NA	NA	NA
kp2997	Nuclear Kinase and Transcription Factor Activation	R-HSA-198725	Reactome	61	Transcriptional Regulation	Transcription Factors	NA	NA	NA	NA	NA
kp3165	Signaling by BRAF/RAF Fusions	R-HSA-6802952	Reactome	61	Signal Transduction	MAP Kinases	Cancers	NA	NA	NA	NA
kp4013	DDX58/IFIH1 mediated Induction of IFN alpha/beta	R-HSA-168928	Reactome	61	Immune System	Inflammation	Interferons	Cytokines	NA	NA	NA
kp4322	Coregulation of Androgen Receptor Activity	ar_pathway	PID	61	Hormone Metabolism & Fucntions	Nuclear Receptors	NA	NA	NA	NA	NA
kp0257	Hh Mutants Abrogate Ligand Secretion	R-HSA-5387390	Reactome	62	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp0384	Microtubule Organization	GO:0031122	Gene Ontology	62	Cytoskeleton	NA	NA	NA	NA	NA	NA
kp0397	Selective Autophagy [Gene Ontology]	GO:0061912	Gene Ontology	62	Autophagy	NA	NA	NA	NA	NA	NA
kp0398	Actin Dynamics in Phagocytosis	R-HSA-2029482	Reactome	62	Cytoskeleton	Immune System	Phagocytosis	NA	NA	NA	NA
kp0469	Tetrapyrrole Metabolism	GO:0033013	Gene Ontology	62	Metabolism	NA	NA	NA	NA	NA	NA
kp0552	Ovulation Cycle	GO:0042698	Gene Ontology	62	Physiology	NA	NA	NA	NA	NA	NA
kp0621	Proteoglycan Biosynthesis [Gene Ontology]	GO:0030166	Gene Ontology	62	Protein Metabolism	ExtraCellular Matrix	NA	NA	NA	NA	NA
kp0695	cAMP Signaling [Gene Ontology]	GO:0019933	Gene Ontology	62	Signal Transduction	cAMP	NA	NA	NA	NA	NA
kp1935	Proteasome Degradation	WP183	WikiPathway	62	Protein Metabolism	Proteasome	NA	NA	NA	NA	NA
kp2760	Toll-like Receptor (TLR)/JNK Pathway	None	INOH	62	Signal Transduction	Immune System	Toll-like Receptors	NA	NA	NA	NA
kp2953	IL-1/JNK Signaling	None	INOH	62	Signal Transduction	Immune System	Cytokines	Interleukins	NA	NA	NA
kp3054	IL-4 Signaling [PID]	il4_2pathway	PID	62	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp4313	Fc-epsilon Receptor (FCERI) Signaling in Mast Cells	fcer1pathway	PID	62	Immune System	Inflammation	Phagocytosis	Fc Receptors	NA	NA	NA
kp4327	Focal Adhesion Kinase (FAK) mediated Signaling	fak_pathway	PID	62	Signal Transduction	Integrins	Focal Adhesion	NA	NA	NA	NA
kp4479	Leptin	Pathway_Leptin	NetPath	62	Signal Transduction	NA	NA	NA	NA	NA	NA
kp5049	Chemokine Receptors and Chemokines Binding	R-HSA-380108	Reactome	62	Signal Transduction	Cytokines	NA	NA	NA	NA	NA
kp5223	Post-NMDA Receptor Activation Events	R-HSA-438064	Reactome	62	Neuronal System	Chemical Synapses	NA	NA	NA	NA	NA
kp0150	Filopodium Assembly	GO:0046847	Gene Ontology	63	Cell Shape & Motility	Focal Adhesion	NA	NA	NA	NA	NA
kp0269	beta-Amyloid Metabolism	GO:0050435	Gene Ontology	63	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp0316	Cytosolic Sensors of Pathogen DNA	R-HSA-1834949	Reactome	63	Immune System	Innate Immune System	NA	NA	NA	NA	NA
kp0429	Aldehyde Metabolism	GO:0006081	Gene Ontology	63	Metabolism	NA	NA	NA	NA	NA	NA
kp0467	Superoxide Metabolism	GO:0006801	Gene Ontology	63	Metabolism	Reactive Oxygen Species (ROS)	NA	NA	NA	NA	NA
kp0788	Transcriptional Regulation by MECP2	R-HSA-8986944	Reactome	63	Transcriptional Regulation	Transcription Factors	MECP2	Neuronal System	NA	NA	NA
kp0837	Calcium Ion dependent Exocytosis	GO:0017156	Gene Ontology	63	Transport	Exocytosis	Calcium	NA	NA	NA	NA
kp1002	Lysine Degradation [KEGG]	path:hsa00310	KEGG	63	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp2152	Lung Fibrosis	WP3624	WikiPathway	63	Metabolism	Fibrosis	NA	NA	NA	NA	NA
kp2492	Modulators of T-cell Receptor Signaling and T-cell Activation	WP5072	WikiPathway	63	Signal Transduction	Immune System	T-cell	NA	NA	NA	NA
kp3539	IL-12 Signaling [PID]	il12_2pathway	PID	63	Signal Transduction	Immune System	Inflammation	Interferons	Cytokines	NA	NA
kp3719	IL-4 Signaling [NetPath]	Pathway_IL4	NetPath	63	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp4018	Toll-like Receptor (TLR)/p38 Pathway	None	INOH	63	Immune System	Innate Immune System	Toll-like Receptors	JAK/STAT	NA	NA	NA
kp4294	Neurotrophic Factor mediated Trk Receptor Signaling	trkrpathway	PID	63	Neuronal System	RTK Signaling	Neurotrophin	NA	NA	NA	NA
kp4298	Lysophosphatidic-acid (LPA) Receptor mediated Events	lysophospholipid_pathway	PID	63	Signal Transduction	NA	NA	NA	NA	NA	NA
kp4456	Integrins in Angiogenesis	avb3_integrin_pathway	PID	63	Angiogenesis	Integrins	NA	NA	NA	NA	NA
kp5431	rRNA Processing	R-HSA-72312	Reactome	63	RNA Metabolism	rRNA Metabolism	NA	NA	NA	NA	NA
kp0042	DNA Replication [Gene Ontology]	GO:0044786	Gene Ontology	64	Cell Cycle	DNA Replication	NA	NA	NA	NA	NA
kp0137	Embryonic Pattern Specification	GO:0009880	Gene Ontology	64	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0249	NCAM Signaling for Neurite Out-Growth	R-HSA-375165	Reactome	64	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp0577	Taste Perception [Gene Ontology]	GO:0050909	Gene Ontology	64	Physiology	NA	NA	NA	NA	NA	NA
kp0660	SMADs Phosphorylation	GO:0060389	Gene Ontology	64	Signal Transduction	Transcription Factors	SMAD	NA	NA	NA	NA
kp0807	TP53 mediated DNA Repair Genes Transcription	R-HSA-6796648	Reactome	64	DNA Repair	Transcriptional Regulation	TP53	NA	NA	NA	NA
kp0911	Gonadotropin-Releasing Hormone (GnRH) Secretion	path:hsa04929	KEGG	64	Hormone Metabolism & Fucntions	Physiology	NA	NA	NA	NA	NA
kp2179	Association Between Physico-Chemical Features and Toxicity Associated Pathway	WP3680	WikiPathway	64	Homeostasis	Cellular Responses to Stress	Metabolism	Physiology	NA	NA	NA
kp2294	Genotoxicity Pathway	WP4286	WikiPathway	64	Cellular Responses to Stimulus	NA	NA	NA	NA	NA	NA
kp2333	Cell Cycle G1/S Cell Cycle Control	WP45	WikiPathway	64	Cell Cycle	NA	NA	NA	NA	NA	NA
kp2978	IL-1/NFkB Signaling	None	INOH	64	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	Toll-like Receptors	NF-kB
kp4282	mTOR Signaling [PID]	mtor_4pathway	PID	64	Signal Transduction	mTOR	NA	NA	NA	NA	NA
kp4303	Nuclear Estrogen Receptor alpha Network	era_genomic_pathway	PID	64	Signal Transduction	Hormone Metabolism & Fucntions	Nuclear Receptors	Transcriptional Regulation	NA	NA	NA
kp4304	Targets of c-MYC Transcriptional Repression	myc_represspathway	PID	64	Transcriptional Regulation	Transcription Factors	NA	NA	NA	NA	NA
kp4404	Retinoblastoma (RB) Protein Regulation	rb_1pathway	PID	64	Signal Transduction	Cancers	NA	NA	NA	NA	NA
kp4674	Endothelins	endothelinpathway	PID	64	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp5548	Peroxisomal Protein import	R-HSA-9033241	Reactome	64	Protein Metabolism	Cell Organelles & Functions	NA	NA	NA	NA	NA
kp0196	Semaphorin Interactions	R-HSA-373755	Reactome	65	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp0200	Smooth Muscle Cell Migration	GO:0014909	Gene Ontology	65	Developmental Biology	Muscle	NA	NA	NA	NA	NA
kp0315	Cranial Skeletal System Development	GO:1904888	Gene Ontology	65	Developmental Biology	Bone	NA	NA	NA	NA	NA
kp0565	Respiratory Gaseous Exchange	GO:0007585	Gene Ontology	65	Physiology	NA	NA	NA	NA	NA	NA
kp0604	Protein Localization To Cell Surface	GO:0034394	Gene Ontology	65	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp0654	RAB Geranylgeranylation	R-HSA-8873719	Reactome	65	Protein Metabolism	Protein Modification	NA	NA	NA	NA	NA
kp0913	Cortisol Synthesis and Secretion	path:hsa04927	KEGG	65	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA	NA
kp2037	Histone Modifications	WP2369	WikiPathway	65	Transcriptional Regulation	Epigenetic Regulation	Protein Modification	Histone	NA	NA	NA
kp2039	Oncostatin M (OSM) Signaling [WikiPathway]	WP2374	WikiPathway	65	Signal Transduction	NA	NA	NA	NA	NA	NA
kp3731	ROBO Receptors Signaling	R-HSA-376176	Reactome	65	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp3740	Cytoprotection by HMOX1	R-HSA-9707564	Reactome	65	Cellular Responses to Stress	NA	NA	NA	NA	NA	NA
kp5071	T-cell Receptor Signaling [Reactome]	R-HSA-202403	Reactome	65	Signal Transduction	Immune System	Adaptive Immune System	T-cell	NA	NA	NA
kp5207	MAPK Activation [Reactome]	R-HSA-450294	Reactome	65	Signal Transduction	MAP Kinases	NA	NA	NA	NA	NA
kp5282	Mitochondrial Protein Import	R-HSA-1268020	Reactome	65	Transport	Protein Metabolism	Mitochondria	NA	NA	NA	NA
kp0008	Adherens Junctions Organization	GO:0034332	Gene Ontology	66	Cell Adhesion	NA	NA	NA	NA	NA	NA
kp0173	Myeloid Cell Development	GO:0061515	Gene Ontology	66	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0651	Protein Monoubiquitination	GO:0006513	Gene Ontology	66	Protein Metabolism	Protein Modification	Ubiquitination	NA	NA	NA	NA
kp0734	Proteasome dependent GLI Degradation	R-HSA-5610783	Reactome	66	Protein Metabolism	Protein Modification	Proteasome	NA	NA	NA	NA
kp0746	Signal Transduction in Absence of Ligand	GO:0038034	Gene Ontology	66	Signal Transduction	NA	NA	NA	NA	NA	NA
kp0796	FOXO mediated Transcription	R-HSA-9614085	Reactome	66	Transcriptional Regulation	Transcription Factors	FOX family	NA	NA	NA	NA
kp0854	Intraflagellar Transport	R-HSA-5620924	Reactome	66	Transport	Cell Organelles & Functions	Cytoskeleton	NA	NA	NA	NA
kp1997	Thyroid Stimulating Hormone (TSH) Signaling	WP2032	WikiPathway	66	Signal Transduction	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA
kp2027	AGE/RAGE Signaling	WP2324	WikiPathway	66	Signal Transduction	NA	NA	NA	NA	NA	NA
kp2991	IL-1/p38 Signaling	None	INOH	66	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	JAK/STAT	NA
kp3183	Glycolysis and Gluconeogenesis [EHMN]	Glycolysis and Gluconeogenesis	EHMN	66	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp3418	Meiotic Recombination	R-HSA-912446	Reactome	66	Physiology	NA	NA	NA	NA	NA	NA
kp3815	Tryptophan Degradation	None	INOH	66	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp4333	Integrin B1 Cell Surface Interactions	integrin1_pathway	PID	66	Cell Adhesion	Integrins	NA	NA	NA	NA	NA
kp4362	HIF1A Transcription Factor Network	hif1_tfpathway	PID	66	Transcriptional Regulation	Transcription Factors	Hypoxia	NA	NA	NA	NA
kp5245	Integrin Cell Surface Interactions	R-HSA-216083	Reactome	66	Cell Adhesion	Integrins	NA	NA	NA	NA	NA
kp0346	Molecular Mediator Production in Inflammation	GO:0002532	Gene Ontology	67	Immune System	Inflammation	NA	NA	NA	NA	NA
kp0518	Transmission of Nerve Impulse	GO:0019226	Gene Ontology	67	Neuronal System	NA	NA	NA	NA	NA	NA
kp0557	Positive Chemotaxis	GO:0050918	Gene Ontology	67	Physiology	Homeostasis	NA	NA	NA	NA	NA
kp0775	RNA Pol-I Transcription [Gene Ontology]	GO:0006360	Gene Ontology	67	Transcription	NA	NA	NA	NA	NA	NA
kp0931	Glycolysis and Gluconeogenesis [KEGG]	path:hsa00010	KEGG	67	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp2472	TP53 Transcriptional Gene Network	WP4963	WikiPathway	67	Transcriptional Regulation	TP53	NA	NA	NA	NA	NA
kp3665	Collagen Biosynthesis and Modifying Enzymes	R-HSA-1650814	Reactome	67	ExtraCellular Matrix	Collagen	NA	NA	NA	NA	NA
kp3669	RNA Pol-II Transcription Termination	R-HSA-73856	Reactome	67	Transcription	NA	NA	NA	NA	NA	NA
kp4062	TNFSignaling [INOH]	None	INOH	67	Signal Transduction	TNF	NA	NA	NA	NA	NA
kp4437	T-cell Receptor Signaling in Naive CD4+ T-cells	tcr_pathway	PID	67	Immune System	Adaptive Immune System	T-cell	NA	NA	NA	NA
kp4789	Insulin Secretion Regulation	R-HSA-422356	Reactome	67	Energy Metabolism	Insulin	NA	NA	NA	NA	NA
kp5215	FGF Signaling [INOH]	None	INOH	67	Signal Transduction	FGF & FGFR	NA	NA	NA	NA	NA
kp0066	Senescence [Gene Ontology]	GO:0090398	Gene Ontology	68	Senescence	Cellular Responses to Stress	Cell Aging	NA	NA	NA	NA
kp0498	Nucleolar Remodeling Complex mediated rRNA Expression Regulation	R-HSA-427413	Reactome	68	Transcriptional Regulation	Epigenetic Regulation	NA	NA	NA	NA	NA
kp0918	Retinol Metabolism [KEGG]	path:hsa00830	KEGG	68	Metabolism	Retinoic-acid	Vitamin	NA	NA	NA	NA
kp0923	Fc-epsilon Receptor (FCERI) Signaling [KEGG]	path:hsa04664	KEGG	68	Signal Transduction	Immune System	Fc Receptors	NA	NA	NA	NA
kp1044	Mitophagy [KEGG]	path:hsa04137	KEGG	68	Autophagy	NA	NA	NA	NA	NA	NA
kp1933	Folate Metabolism [WikiPathway]	WP176	WikiPathway	68	Metabolism	NA	NA	NA	NA	NA	NA
kp1986	Sterol Regulatory Element-binding Proteins (SREBP) Signaling	WP1982	WikiPathway	68	Transcriptional Regulation	Transcription Factors	Lipid Metabolism	NA	NA	NA	NA
kp2083	Endoderm Differentiation	WP2853	WikiPathway	68	Developmental Biology	Differentiation	NA	NA	NA	NA	NA
kp2129	RAC1/PAK1/p38/MMP2 Pathway	WP3303	WikiPathway	68	Signal Transduction	NA	NA	NA	NA	NA	NA
kp2312	Non-Genomic Actions of 1,25-Dihydroxy Vitamin D3	WP4341	WikiPathway	68	Metabolism	Vitamin	NA	NA	NA	NA	NA
kp2536	DNA Damage Response [WikiPathway]	WP707	WikiPathway	68	Cellular Responses to Stimulus	DNA Damage	DNA Repair	Transcriptional Regulation	NA	NA	NA
kp2615	Prolactin Signaling [NetPath]	Pathway_Prolactin	NetPath	68	Signal Transduction	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA
kp2683	IL-1 family Signaling	R-HSA-446652	Reactome	68	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp2876	DNA Methylation [Reactome]	R-HSA-5334118	Reactome	68	Transcriptional Regulation	Epigenetic Regulation	NA	NA	NA	NA	NA
kp2970	HDR through Homologous Recombination (HRR)	R-HSA-5685942	Reactome	68	DNA Repair	NA	NA	NA	NA	NA	NA
kp3031	TGF-beta Receptor Complex Signaling	R-HSA-170834	Reactome	68	Signal Transduction	TGF-beta	NA	NA	NA	NA	NA
kp4064	O-linked Glycosylation of Mucins	R-HSA-913709	Reactome	68	Protein Metabolism	Protein Modification	Glycosylation	NA	NA	NA	NA
kp4312	Downstream Signaling in Naive CD8+ T-cells	cd8tcrdownstreampathway	PID	68	Signal Transduction	Immune System	T-cell	NA	NA	NA	NA
kp4325	Regulation of Telomerase	telomerasepathway	PID	68	Chromosome Structure Maintenance	Cell Aging	NA	NA	NA	NA	NA
kp4329	B-cell Receptor Signaling [PID]	bcr_5pathway	PID	68	Signal Transduction	Immune System	B-cell	NA	NA	NA	NA
kp4435	VEGFR1/2 mediated Signaling	vegfr1_2_pathway	PID	68	Signal Transduction	Growth Factors	VEGF & VEGFR	NA	NA	NA	NA
kp0176	Nerve Development	GO:0021675	Gene Ontology	69	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp0321	Immune Cell Extravasation	GO:0045123	Gene Ontology	69	Immune System	Cell Shape & Motility	NA	NA	NA	NA	NA
kp0410	Lipid Phosphorylation	GO:0046834	Gene Ontology	69	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp0661	Hormone Biosynthesis	GO:0042446	Gene Ontology	69	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA	NA
kp0920	Adipocytokine Signaling	path:hsa04920	KEGG	69	Signal Transduction	Hormone Metabolism & Fucntions	Homeostasis	NA	NA	NA	NA
kp1122	Renin Secretion	path:hsa04924	KEGG	69	Physiology	Homeostasis	Blood Vessels	NA	NA	NA	NA
kp3437	Non-homologous End Joining (NHEJ)	R-HSA-5693571	Reactome	69	DNA Repair	NA	NA	NA	NA	NA	NA
kp3456	WNT Signaling [NetPath]	Pathway_Wnt	NetPath	69	Signal Transduction	WNT	beta-Catenin	NA	NA	NA	NA
kp3783	Glycosphingolipid Metabolism [EHMN]	Glycosphingolipid metabolism	EHMN	69	Metabolism	Lipid Metabolism	Sphingolipid Metabolism	NA	NA	NA	NA
kp5149	Toll-like Receptor (TLR)/NFkB Pathway	None	INOH	69	Immune System	Innate Immune System	Toll-like Receptors	NA	NA	NA	NA
