Path ID	Reference	Description
K-Path:0977	GO:0051225	spindle assembly
K-Path:0978	GO:0051653	spindle localization
K-Path:0979	GO:0002040	sprouting angiogenesis
K-Path:0980	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
K-Path:0981	GO:0048863	stem cell differentiation
K-Path:0982	GO:0072089	stem cell proliferation
K-Path:0983	GO:0055092	sterol homeostasis
K-Path:0984	GO:0016125	sterol metabolic process
K-Path:0985	GO:0031098	stress activated protein kinase signaling cascade
K-Path:0986	GO:0043149	stress fiber assembly
K-Path:0987	GO:0014888	striated muscle adaptation
K-Path:0988	GO:0010658	striated muscle cell apoptotic process
K-Path:0989	GO:0034446	substrate adhesion dependent cell spreading
K-Path:0990	GO:0044272	sulfur compound biosynthetic process
K-Path:0991	GO:0044273	sulfur compound catabolic process
K-Path:0992	R-HSA-2990846	SUMOylation
K-Path:0993	R-HSA-4551638	SUMOylation of chromatin organization proteins
K-Path:0994	R-HSA-3108214	SUMOylation of DNA damage response and repair proteins
K-Path:0995	GO:0006801	superoxide metabolic process
K-Path:0996	GO:0007416	synapse assembly
K-Path:0997	GO:0097479	synaptic vesicle localization
K-Path:0998	GO:0006949	syncytium formation
K-Path:0999	R-HSA-69239	Synthesis of DNA
K-Path:1000	GO:0033077	t cell differentiation in thymus
K-Path:1001	GO:0002456	t cell mediated immunity
K-Path:1002	GO:0042098	t cell proliferation
K-Path:1003	GO:0050852	t cell receptor signaling
K-Path:1004	R-HSA-201681	TCF dependent signaling in response to WNT
K-Path:1005	R-HSA-202403	TCR signaling
K-Path:1006	GO:0021537	telencephalon development
K-Path:1007	GO:0010833	telomere maintenance via telomere lengthening
K-Path:1008	GO:0032200	telomere organization
K-Path:1009	GO:0001659	temperature homeostasis
K-Path:1010	GO:0006721	terpenoid metabolic process
K-Path:1011	GO:0033013	tetrapyrrole metabolic process
K-Path:1012	R-HSA-1428517	The citric acid (TCA) cycle and respiratory electron transport
K-Path:1013	R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint
K-Path:1014	GO:0042246	tissue regeneration
K-Path:1015	R-HSA-5668541	TNFR2 non-canonical NF-kB
K-Path:1016	R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade
K-Path:1017	R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade
K-Path:1018	R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade
K-Path:1019	GO:0002224	toll like receptor signaling
K-Path:1020	R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade
K-Path:1021	R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade
K-Path:1022	R-HSA-168898	Toll-like Receptor Cascades
K-Path:1023	GO:0031929	tor signaling
K-Path:1024	R-HSA-5628897	TP53 Regulates Metabolic Genes
K-Path:1025	R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes
K-Path:1026	R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes
K-Path:1027	R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation
K-Path:1028	GO:0006360	transcription by rna polymerase i
K-Path:1029	GO:0006367	transcription initiation from rna polymerase ii promoter
K-Path:1030	R-HSA-8986944	Transcriptional Regulation by MECP2
K-Path:1031	R-HSA-8878171	Transcriptional regulation by RUNX1
K-Path:1032	R-HSA-8878166	Transcriptional regulation by RUNX2
K-Path:1033	R-HSA-8878159	Transcriptional regulation by RUNX3
K-Path:1034	R-HSA-9616222	Transcriptional regulation of granulopoiesis
K-Path:1035	R-HSA-381340	Transcriptional regulation of white adipocyte differentiation
K-Path:1036	GO:0007179	transforming growth factor beta receptor signaling
K-Path:1037	R-HSA-199992	trans-Golgi Network Vesicle Budding
K-Path:1038	R-HSA-72766	Translation
K-Path:1039	GO:0006414	translational elongation
K-Path:1040	GO:0006413	translational initiation
K-Path:1041	R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane
K-Path:1042	R-HSA-112315	Transmission across Chemical Synapses
K-Path:1043	GO:0019226	transmission of nerve impulse
K-Path:1044	R-HSA-948021	Transport to the Golgi and subsequent modification
K-Path:1045	R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 
K-Path:1046	GO:0006641	triglyceride metabolic process
K-Path:1047	GO:0006399	trna metabolic process
K-Path:1048	R-HSA-72306	tRNA processing
K-Path:1049	GO:0033209	tumor necrosis factor mediated signaling
K-Path:1050	GO:0071706	tumor necrosis factor superfamily cytokine production
K-Path:1051	GO:0030433	ubiquitin dependent erad
K-Path:1052	R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
K-Path:1053	R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D
K-Path:1054	R-HSA-5689880	Ub-specific processing proteases
K-Path:1055	R-HSA-5689603	UCH proteinases
K-Path:1056	R-HSA-381119	Unfolded Protein Response (UPR)
K-Path:1057	GO:0033559	unsaturated fatty acid metabolic process
K-Path:1058	GO:0010573	vascular endothelial growth factor production
K-Path:1059	GO:0048010	vascular endothelial growth factor receptor signaling
K-Path:1060	GO:0010232	vascular transport
K-Path:1061	GO:0001570	vasculogenesis
K-Path:1062	GO:0099518	vesicle cytoskeletal trafficking
K-Path:1063	GO:0099003	vesicle mediated transport in synapse
K-Path:1064	GO:0098876	vesicle mediated transport to the plasma membrane
K-Path:1065	R-HSA-180585	Vif-mediated degradation of APOBEC3G
K-Path:1066	GO:0019079	viral genome replication
K-Path:1067	R-HSA-192823	Viral mRNA Translation
K-Path:1068	R-HSA-2187338	Visual phototransduction
K-Path:1069	R-HSA-180534	Vpu mediated degradation of CD4
K-Path:1070	GO:0030104	water homeostasis
K-Path:1071	R-HSA-3238698	WNT ligand biogenesis and trafficking
